,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
10,240.0,240.0,38.0,88.0,0.432,7.0,31.0,0.226,27.0,35.0,0.771,14.0,45.0,59.0,24.0,4.0,1.0,12.0,18.0,110.0,,0.532,0.472,0.352,0.398,27.5,88.2,57.8,63.2,4.0,2.1,10.4,100.0,110.5,102.5,,,8.0,19.0,0.8,3.0,8.0,1.0,11.0,13.0,1.0,4.0,12.0,14.0,5.0,2.0,1.0,4.0,3.0,24.0,16.0,0.962,1.0,0.75,1.3,10.6,55.9,31.1,26.1,3.7,3.0,19.0,27.5,163.0,107.0,MIA,110,0,1,240.0,240.0,37.0,90.0,0.411,11.0,42.0,0.262,17.0,21.0,0.81,6.0,37.0,43.0,28.0,5.0,4.0,8.0,25.0,102.0,,0.514,0.472,0.467,0.233,11.8,72.5,42.2,75.7,5.0,7.0,7.5,100.0,102.5,110.5,,,10.0,21.0,1.0,6.0,14.0,1.0,3.0,4.0,1.0,4.0,10.0,14.0,10.0,2.0,1.0,3.0,5.0,26.0,14.0,1.0,1.0,0.778,0.75,15.1,29.3,20.5,52.3,3.0,13.5,24.4,32.0,200.0,119.0,WAS,102,1,2024,2024-02-02,True
11,240.0,240.0,37.0,90.0,0.411,11.0,42.0,0.262,17.0,21.0,0.81,6.0,37.0,43.0,28.0,5.0,4.0,8.0,25.0,102.0,,0.514,0.472,0.467,0.233,11.8,72.5,42.2,75.7,5.0,7.0,7.5,100.0,102.5,110.5,,,10.0,21.0,1.0,6.0,14.0,1.0,3.0,4.0,1.0,4.0,10.0,14.0,10.0,2.0,1.0,3.0,5.0,26.0,14.0,1.0,1.0,0.778,0.75,15.1,29.3,20.5,52.3,3.0,13.5,24.4,32.0,200.0,119.0,WAS,102,1,0,240.0,240.0,38.0,88.0,0.432,7.0,31.0,0.226,27.0,35.0,0.771,14.0,45.0,59.0,24.0,4.0,1.0,12.0,18.0,110.0,,0.532,0.472,0.352,0.398,27.5,88.2,57.8,63.2,4.0,2.1,10.4,100.0,110.5,102.5,,,8.0,19.0,0.8,3.0,8.0,1.0,11.0,13.0,1.0,4.0,12.0,14.0,5.0,2.0,1.0,4.0,3.0,24.0,16.0,0.962,1.0,0.75,1.3,10.6,55.9,31.1,26.1,3.7,3.0,19.0,27.5,163.0,107.0,MIA,110,0,2024,2024-02-02,False
12,240.0,240.0,37.0,80.0,0.463,10.0,28.0,0.357,24.0,30.0,0.8,13.0,24.0,37.0,14.0,7.0,4.0,8.0,16.0,108.0,,0.579,0.525,0.35,0.375,28.9,60.0,43.5,37.8,7.9,7.3,7.9,100.0,122.6,136.2,,,11.0,23.0,0.75,4.0,10.0,1.0,11.0,12.0,1.0,4.0,5.0,8.0,6.0,2.0,1.0,2.0,3.0,30.0,8.0,0.868,1.0,0.8,1.0,20.1,22.6,21.3,26.8,4.6,4.3,50.0,34.4,150.0,145.0,POR,108,0,1,240.0,240.0,46.0,91.0,0.505,12.0,36.0,0.333,16.0,17.0,0.941,16.0,32.0,48.0,34.0,3.0,6.0,11.0,20.0,120.0,,0.609,0.571,0.396,0.187,40.0,71.1,56.5,73.9,3.4,11.5,10.0,100.0,136.2,122.6,,,11.0,21.0,1.0,3.0,15.0,1.0,7.0,7.0,1.0,7.0,15.0,22.0,12.0,1.0,2.0,4.0,4.0,27.0,22.0,1.0,1.0,0.714,0.875,26.1,41.8,32.5,46.7,74.3,5.6,33.3,59.8,210.0,131.0,DEN,120,1,2024,2024-02-02,False
13,240.0,240.0,46.0,91.0,0.505,12.0,36.0,0.333,16.0,17.0,0.941,16.0,32.0,48.0,34.0,3.0,6.0,11.0,20.0,120.0,,0.609,0.571,0.396,0.187,40.0,71.1,56.5,73.9,3.4,11.5,10.0,100.0,136.2,122.6,,,11.0,21.0,1.0,3.0,15.0,1.0,7.0,7.0,1.0,7.0,15.0,22.0,12.0,1.0,2.0,4.0,4.0,27.0,22.0,1.0,1.0,0.714,0.875,26.1,41.8,32.5,46.7,74.3,5.6,33.3,59.8,210.0,131.0,DEN,120,1,0,240.0,240.0,37.0,80.0,0.463,10.0,28.0,0.357,24.0,30.0,0.8,13.0,24.0,37.0,14.0,7.0,4.0,8.0,16.0,108.0,,0.579,0.525,0.35,0.375,28.9,60.0,43.5,37.8,7.9,7.3,7.9,100.0,122.6,136.2,,,11.0,23.0,0.75,4.0,10.0,1.0,11.0,12.0,1.0,4.0,5.0,8.0,6.0,2.0,1.0,2.0,3.0,30.0,8.0,0.868,1.0,0.8,1.0,20.1,22.6,21.3,26.8,4.6,4.3,50.0,34.4,150.0,145.0,POR,108,0,2024,2024-02-02,True
14,240.0,240.0,50.0,97.0,0.515,12.0,25.0,0.48,17.0,23.0,0.739,20.0,28.0,48.0,26.0,5.0,3.0,15.0,16.0,129.0,,0.602,0.577,0.258,0.237,50.0,84.8,65.8,52.0,5.1,5.6,12.3,100.0,132.7,135.8,,,12.0,21.0,1.0,3.0,6.0,1.0,6.0,8.0,1.0,7.0,6.0,13.0,6.0,2.0,3.0,4.0,3.0,30.0,12.0,1.333,1.333,0.667,0.533,24.8,31.5,25.2,27.7,3.6,7.9,36.8,32.0,193.0,139.0,HOU,129,0,1,240.0,240.0,54.0,86.0,0.628,15.0,32.0,0.469,9.0,14.0,0.643,5.0,20.0,25.0,35.0,7.0,7.0,12.0,20.0,132.0,,0.716,0.715,0.372,0.163,15.2,50.0,34.2,64.8,7.2,9.7,11.5,100.0,135.8,132.7,,,11.0,16.0,1.0,4.0,6.0,1.0,3.0,4.0,1.0,1.0,4.0,4.0,7.0,1.0,2.0,3.0,6.0,29.0,11.0,1.5,1.5,1.0,0.667,8.8,29.9,16.4,29.3,3.1,8.0,27.9,40.4,249.0,142.0,IND,132,1,2024,2024-02-06,False
15,240.0,240.0,54.0,86.0,0.628,15.0,32.0,0.469,9.0,14.0,0.643,5.0,20.0,25.0,35.0,7.0,7.0,12.0,20.0,132.0,,0.716,0.715,0.372,0.163,15.2,50.0,34.2,64.8,7.2,9.7,11.5,100.0,135.8,132.7,,,11.0,16.0,1.0,4.0,6.0,1.0,3.0,4.0,1.0,1.0,4.0,4.0,7.0,1.0,2.0,3.0,6.0,29.0,11.0,1.5,1.5,1.0,0.667,8.8,29.9,16.4,29.3,3.1,8.0,27.9,40.4,249.0,142.0,IND,132,1,0,240.0,240.0,50.0,97.0,0.515,12.0,25.0,0.48,17.0,23.0,0.739,20.0,28.0,48.0,26.0,5.0,3.0,15.0,16.0,129.0,,0.602,0.577,0.258,0.237,50.0,84.8,65.8,52.0,5.1,5.6,12.3,100.0,132.7,135.8,,,12.0,21.0,1.0,3.0,6.0,1.0,6.0,8.0,1.0,7.0,6.0,13.0,6.0,2.0,3.0,4.0,3.0,30.0,12.0,1.333,1.333,0.667,0.533,24.8,31.5,25.2,27.7,3.6,7.9,36.8,32.0,193.0,139.0,HOU,129,0,2024,2024-02-06,True
16,290.0,290.0,48.0,101.0,0.475,14.0,35.0,0.4,17.0,21.0,0.81,11.0,37.0,48.0,38.0,6.0,5.0,11.0,16.0,127.0,,0.576,0.545,0.347,0.208,26.2,72.5,51.6,79.2,5.7,10.6,9.1,100.0,120.0,127.5,,,9.0,20.0,1.0,4.0,9.0,0.6,6.0,6.0,1.0,3.0,9.0,12.0,11.0,2.0,2.0,4.0,5.0,23.0,4.0,1.042,1.0,0.533,1.0,12.4,30.7,22.5,38.9,2.9,7.4,18.4,24.8,222.0,137.0,TOR,127,0,1,290.0,290.0,52.0,110.0,0.473,23.0,63.0,0.365,8.0,8.0,1.0,14.0,31.0,45.0,40.0,6.0,8.0,10.0,15.0,135.0,,0.595,0.577,0.573,0.073,27.5,73.8,48.4,76.9,5.7,12.1,8.1,100.0,127.5,120.0,,,9.0,19.0,1.0,5.0,12.0,1.0,4.0,4.0,1.0,4.0,8.0,9.0,14.0,2.0,3.0,2.0,5.0,24.0,17.0,1.5,1.5,1.0,0.267,23.8,23.1,21.8,43.3,2.7,5.5,25.0,25.4,300.0,128.0,OKC,135,1,2024,2024-02-04,False
17,290.0,290.0,52.0,110.0,0.473,23.0,63.0,0.365,8.0,8.0,1.0,14.0,31.0,45.0,40.0,6.0,8.0,10.0,15.0,135.0,,0.595,0.577,0.573,0.073,27.5,73.8,48.4,76.9,5.7,12.1,8.1,100.0,127.5,120.0,,,9.0,19.0,1.0,5.0,12.0,1.0,4.0,4.0,1.0,4.0,8.0,9.0,14.0,2.0,3.0,2.0,5.0,24.0,17.0,1.5,1.5,1.0,0.267,23.8,23.1,21.8,43.3,2.7,5.5,25.0,25.4,300.0,128.0,OKC,135,1,0,290.0,290.0,48.0,101.0,0.475,14.0,35.0,0.4,17.0,21.0,0.81,11.0,37.0,48.0,38.0,6.0,5.0,11.0,16.0,127.0,,0.576,0.545,0.347,0.208,26.2,72.5,51.6,79.2,5.7,10.6,9.1,100.0,120.0,127.5,,,9.0,20.0,1.0,4.0,9.0,0.6,6.0,6.0,1.0,3.0,9.0,12.0,11.0,2.0,2.0,4.0,5.0,23.0,4.0,1.042,1.0,0.533,1.0,12.4,30.7,22.5,38.9,2.9,7.4,18.4,24.8,222.0,137.0,TOR,127,0,2024,2024-02-04,True
18,240.0,240.0,41.0,86.0,0.477,14.0,35.0,0.4,12.0,18.0,0.667,10.0,38.0,48.0,26.0,6.0,8.0,14.0,16.0,108.0,,0.575,0.558,0.407,0.209,21.7,84.4,52.7,63.4,6.1,15.4,13.0,100.0,109.8,102.7,,,10.0,19.0,0.6,3.0,9.0,1.0,3.0,4.0,1.0,4.0,7.0,10.0,7.0,2.0,3.0,4.0,4.0,25.0,19.0,0.75,0.75,1.0,0.75,14.6,35.3,22.4,42.2,3.5,18.6,27.3,35.2,151.0,109.0,CLE,108,0,1,240.0,240.0,37.0,90.0,0.411,12.0,38.0,0.316,15.0,17.0,0.882,7.0,36.0,43.0,25.0,9.0,12.0,12.0,19.0,101.0,,0.518,0.478,0.422,0.189,15.6,78.3,47.3,67.6,9.2,23.5,11.0,100.0,102.7,109.8,,,10.0,23.0,1.0,4.0,8.0,0.571,6.0,6.0,1.0,2.0,8.0,9.0,6.0,3.0,3.0,5.0,4.0,25.0,4.0,1.025,1.0,1.0,0.6,7.9,23.4,12.7,38.9,6.5,8.2,18.2,37.9,216.0,116.0,MEM,101,1,2024,2024-02-01,True
19,240.0,240.0,37.0,90.0,0.411,12.0,38.0,0.316,15.0,17.0,0.882,7.0,36.0,43.0,25.0,9.0,12.0,12.0,19.0,101.0,,0.518,0.478,0.422,0.189,15.6,78.3,47.3,67.6,9.2,23.5,11.0,100.0,102.7,109.8,,,10.0,23.0,1.0,4.0,8.0,0.571,6.0,6.0,1.0,2.0,8.0,9.0,6.0,3.0,3.0,5.0,4.0,25.0,4.0,1.025,1.0,1.0,0.6,7.9,23.4,12.7,38.9,6.5,8.2,18.2,37.9,216.0,116.0,MEM,101,1,0,240.0,240.0,41.0,86.0,0.477,14.0,35.0,0.4,12.0,18.0,0.667,10.0,38.0,48.0,26.0,6.0,8.0,14.0,16.0,108.0,,0.575,0.558,0.407,0.209,21.7,84.4,52.7,63.4,6.1,15.4,13.0,100.0,109.8,102.7,,,10.0,19.0,0.6,3.0,9.0,1.0,3.0,4.0,1.0,4.0,7.0,10.0,7.0,2.0,3.0,4.0,4.0,25.0,19.0,0.75,0.75,1.0,0.75,14.6,35.3,22.4,42.2,3.5,18.6,27.3,35.2,151.0,109.0,CLE,108,0,2024,2024-02-01,False
